u,v,key,osmid,bridge,oneway,lanes,ref,highway,maxspeed,reversed,length,name,tunnel,junction,access,geometry
26019996,1487416471,0,135424828,yes,True,2,A 25,motorway,120,False,137.835,,,,,"LINESTRING (-8.6586607 40.6435537, -8.6573925 40.6443351)"
26019999,1487416494,0,135424832,,True,2,A 25,motorway,120,False,128.667,,,,,"LINESTRING (-8.6561168 40.6451034, -8.6548965 40.6457974)"
26020001,26020004,0,135424832,,True,2,A 25,motorway,120,False,295.911,,,,,"LINESTRING (-8.6536617 40.6464534, -8.6507384 40.6479239)"
330341298,9062001863,0,135165691,,False,,,residential,,False,3.371,Rua José Afonso,,,,"LINESTRING (-8.6468557 40.6405709, -8.6468158 40.6405725)"
330341298,9061988796,0,146634192,,False,,,residential,,True,4.511,Largo do Mercado,,,,"LINESTRING (-8.6468557 40.6405709, -8.6469072 40.6405818)"
330341299,1484655937,0,135165691,,False,,,residential,,False,24.027,Rua José Afonso,,,,"LINESTRING (-8.6466505 40.640667, -8.6464759 40.6408377)"
330341299,4970288960,0,135165691,,False,,,residential,,True,4.027,Rua José Afonso,,,,"LINESTRING (-8.6466505 40.640667, -8.6466814 40.6406394)"
330341300,1484655932,0,135165691,,False,,,residential,,False,19.627,Rua José Afonso,,,,"LINESTRING (-8.6457388 40.6411237, -8.6455138 40.6410789)"
330341300,1484655920,0,135165691,,False,,,residential,,True,17.479,Rua José Afonso,,,,"LINESTRING (-8.6457388 40.6411237, -8.6459459 40.64112)"
330341301,9062001859,0,135165691,,False,,,residential,,False,10.017,Rua José Afonso,,,,"LINESTRING (-8.6443263 40.6405626, -8.6442243 40.6405165)"
330341301,1699844854,0,135165691,,False,,,residential,,True,59.738,Rua José Afonso,,,,"LINESTRING (-8.6443263 40.6405626, -8.6449418 40.6408281)"
330341301,1484930831,0,135194483,,False,2,,residential,,False,72.396,Rua Doutor Manuel Soares,,,,"LINESTRING (-8.6443263 40.6405626, -8.6438913 40.6411238)"
330341302,5217907853,0,135165691,,False,,,residential,,True,5.119,Rua José Afonso,,,,"LINESTRING (-8.6431917 40.6400499, -8.6432441 40.6400731)"
330341302,1699763639,0,686659364,,False,2,,residential,,False,14.32,Rua Carlos Silva Melo Guimarães,,,,"LINESTRING (-8.6431917 40.6400499, -8.6431028 40.6401596)"
330341302,5217907851,0,686659370,,False,2,,residential,,False,16.963,Rua Carlos Silva Melo Guimarães,,,,"LINESTRING (-8.6431917 40.6400499, -8.6432945 40.6399188)"
